score_id	hgnc_symbol	grouping_id	study_id	description	ensembl_gene_id	ensembl_version
cell_cycle	BRIP1	S	TiroshI-27124452	Cell cycle; Table S5	ENSG00000136492	99
cell_cycle	CASP8AP2	S	TiroshI-27124452	Cell cycle; Table S5	ENSG00000118412	99
cell_cycle	CCNE2	S	TiroshI-27124452	Cell cycle; Table S5	ENSG00000175305	99
cell_cycle	CDC45	S	TiroshI-27124452	Cell cycle; Table S5	ENSG00000093009	99
cell_cycle	CDC6	S	TiroshI-27124452	Cell cycle; Table S5	ENSG00000094804	99
cell_cycle	CDCA7	S	TiroshI-27124452	Cell cycle; Table S5	ENSG00000144354	99
cell_cycle	CHAF1B	S	TiroshI-27124452	Cell cycle; Table S5	ENSG00000159259	99
cell_cycle	CLSPN	S	TiroshI-27124452	Cell cycle; Table S5	ENSG00000092853	99
cell_cycle	DSCC1	S	TiroshI-27124452	Cell cycle; Table S5	ENSG00000136982	99
cell_cycle	DTL	S	TiroshI-27124452	Cell cycle; Table S5	ENSG00000143476	99
cell_cycle	E2F8	S	TiroshI-27124452	Cell cycle; Table S5	ENSG00000129173	99
cell_cycle	EXO1	S	TiroshI-27124452	Cell cycle; Table S5	ENSG00000174371	99
cell_cycle	FEN1	S	TiroshI-27124452	Cell cycle; Table S5	ENSG00000168496	99
cell_cycle	GINS2	S	TiroshI-27124452	Cell cycle; Table S5	ENSG00000131153	99
cell_cycle	GMNN	S	TiroshI-27124452	Cell cycle; Table S5	ENSG00000112312	99
cell_cycle	HELLS	S	TiroshI-27124452	Cell cycle; Table S5	ENSG00000119969	99
cell_cycle	MCM2	S	TiroshI-27124452	Cell cycle; Table S5	ENSG00000073111	99
cell_cycle	MCM4	S	TiroshI-27124452	Cell cycle; Table S5	ENSG00000104738	99
cell_cycle	MCM5	S	TiroshI-27124452	Cell cycle; Table S5	ENSG00000100297	99
cell_cycle	MCM6	S	TiroshI-27124452	Cell cycle; Table S5	ENSG00000076003	99
cell_cycle	MLF1IP	S	TiroshI-27124452	Cell cycle; Table S5	ENSG00000151725	99
cell_cycle	MSH2	S	TiroshI-27124452	Cell cycle; Table S5	ENSG00000095002	99
cell_cycle	NASP	S	TiroshI-27124452	Cell cycle; Table S5	ENSG00000132780	99
cell_cycle	PCNA	S	TiroshI-27124452	Cell cycle; Table S5	ENSG00000132646	99
cell_cycle	POLA1	S	TiroshI-27124452	Cell cycle; Table S5	ENSG00000101868	99
cell_cycle	POLD3	S	TiroshI-27124452	Cell cycle; Table S5	ENSG00000077514	99
cell_cycle	PRIM1	S	TiroshI-27124452	Cell cycle; Table S5	ENSG00000198056	99
cell_cycle	RAD51	S	TiroshI-27124452	Cell cycle; Table S5	ENSG00000051180	99
cell_cycle	RAD51AP1	S	TiroshI-27124452	Cell cycle; Table S5	ENSG00000111247	99
cell_cycle	RFC2	S	TiroshI-27124452	Cell cycle; Table S5	ENSG00000049541	99
cell_cycle	RPA2	S	TiroshI-27124452	Cell cycle; Table S5	ENSG00000117748	99
cell_cycle	RRM1	S	TiroshI-27124452	Cell cycle; Table S5	ENSG00000167325	99
cell_cycle	RRM2	S	TiroshI-27124452	Cell cycle; Table S5	ENSG00000171848	99
cell_cycle	SLBP	S	TiroshI-27124452	Cell cycle; Table S5	ENSG00000163950	99
cell_cycle	TIPIN	S	TiroshI-27124452	Cell cycle; Table S5	ENSG00000075131	99
cell_cycle	TYMS	S	TiroshI-27124452	Cell cycle; Table S5	ENSG00000176890	99
cell_cycle	UBR7	S	TiroshI-27124452	Cell cycle; Table S5	ENSG00000012963	99
cell_cycle	UHRF1	S	TiroshI-27124452	Cell cycle; Table S5	ENSG00000276043	99
cell_cycle	UNG	S	TiroshI-27124452	Cell cycle; Table S5	ENSG00000076248	99
cell_cycle	USP1	S	TiroshI-27124452	Cell cycle; Table S5	ENSG00000162607	99
cell_cycle	WDR76	S	TiroshI-27124452	Cell cycle; Table S5	ENSG00000092470	99
